OBJECTID,INTERSECTION,COUNT_DATE,ST_NAME1,ST_SEGMENT_DIR1,ST_SEGMENT_ADT1,ST_NAME2,ST_SEGMENT_DIR2,ST_SEGMENT_ADT2,ST_NAME3,ST_SEGMENT_DIR3,ST_SEGMENT_ADT3,ST_NAME4,ST_SEGMENT_DIR4,ST_SEGMENT_ADT4,ST_NAME5,ST_SEGMENT_DIR5,ST_SEGMENT_ADT5,INTERSECTION_ADT,YearCount,HyperlinkPDF,GlobalID
1779,BELLEMEADE ST & N EDGEWORTH ST,1114473600000,N EDGEWORTH ST,NORTH,8598,N EDGEWORTH ST,SOUTH,9824,BELLEMEADE ST,WEST,926,BELLEMEADE ST,EAST,2344,NA,NA,NA,10846,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BELLEMEADEST-EDGEWORTHST05.pdf,{9ED446BC-D9E3-4119-86FE-929205BB824F}
1780,S BENBOW RD & E FLORIDA ST,1114473600000,S BENBOW RD,NORTH,2570,S BENBOW RD,SOUTH,4044,E FLORIDA ST,WEST,6531,E FLORIDA ST,EAST,6353,NA,NA,NA,9749,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BENBOWRD-FLORIDAST05.pdf,{B6E452EE-7E6F-4A8E-8A92-66003FC2FCD2}
1781,S BENBOW RD & GORRELL ST,1109116800000,S BENBOW RD,NORTH,6847,S BENBOW RD,SOUTH,6898,GORRELL ST,WEST,1117,GORRELL ST,EAST,762,NA,NA,NA,7812,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BENBOWRD-GORRELLST05.pdf,{78B75BC1-236F-4478-90F6-92A47EB1737C}
1782,S BENBOW RD & E MARKET ST,1125532800000,N BENBOW RD,NORTH,6970,S BENBOW RD,SOUTH,3570,E MARKET ST,WEST,8756,E MARKET ST,EAST,11204,NA,NA,NA,15250,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BENBOWRD-MARKETST05.pdf,{3D517768-3FF8-42E8-AD72-03A8661E86E1}
1783,BENJAMIN PKWY & GREEN VALLEY RD,1105574400000,GREEN VALLEY RD,NORTH,17652,GREEN VALLEY RD,SOUTH,20772,BENJAMIN PKWY,WEST,34254,BENJAMIN PKWY,EAST,33084,NA,NA,NA,52881,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BENJAMINPKWY-GREENVALLEY05.pdf,{72C382FB-38E9-43A7-B7D4-8A47E8B89CDA}
1784,E BESSEMER AVE & HUFFINE MILL RD,1128470400000,HUFFINE MILL RD,NORTH,6668,HUFFINE MILL RD,SOUTH,5972,E BESSEMER AVE,WEST,3710,E BESSEMER AVE,EAST,7270,NA,NA,NA,11810,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BESSEMERAV-HUFFINEMILLRD05.pdf,{A40543BD-C17D-4EE3-BA84-33E0A9A8DDFB}
1785,E BESSEMER AVE & LINDSAY ST,1105315200000,E LINDSAY ST,NORTH,9978,E LINDSAY ST,SOUTH,5106,E BESSEMER AVE,WEST,20579,E BESSEMER AVE,EAST,21533,NA,NA,NA,28598,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BESSEMERAV-LINDSAYST05.pdf,{6A3E13D8-1C04-44AD-9D83-6F0BFF4E9543}
1786,E BESSEMER AVE & TUCKER ST,1129075200000,TUCKER ST,NORTH,2775,HEADQUARTERS DR,SOUTH,1567,E BESSEMER AVE,WEST,19477,E BESSEMER AVE,EAST,18871,NA,NA,NA,21345,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BESSEMERAV-TUCKERST05.pdf,{34EF9BB9-4C1B-4503-9655-94AF7A3165B1}
1787,BIG TREE WAY & GUILFORD COLLEGE RD,1126569600000,GUILFORD COLLEGE RD,NORTH,27992,GUILFORD COLLEGE RD,SOUTH,27000,NA,WEST,7,BIG TREE WAY,EAST,4187,NA,NA,NA,29593,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BIGTREEWAY-GUILFORDCOLLEGERD05.pdf,{1C725BE2-3E25-4CF2-9AF0-7AB7C5973C5C}
1788,BIG TREE WAY & W WENDOVER AVE,1125446400000,BIG TREE WAY,NORTH,5951,SHEETZ,SOUTH,882,W WENDOVER AVE,WEST,31733,W WENDOVER AVE,EAST,32644,NA,NA,NA,35605,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BIGTREEWAY-WENDOVERAV05.pdf,{8B450374-9098-4621-929C-1BA2E720551F}
1789,BLUFORD ST & DUDLEY ST,1124928000000,DUDLEY ST,NORTH,3983,DUDLEY ST,SOUTH,1101,BLUFORD ST,WEST,12615,BLUFORD ST,EAST,14629,NA,NA,NA,16164,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BLUFORDST-DUDLEYST05.pdf,{182CFD3A-E24D-43BC-8BD1-5BADB378CC5A}
1790,BRIDFORD PKWY & HILLTOP RD,1118793600000,BRIDFORD PKWY,NORTH,12877,HILL TOP TRL,SOUTH,126,HILL TOP RD,WEST,15169,HILL TOP RD,EAST,10964,NA,NA,NA,19568,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BRIDFORDPK-HILLTOPRD05.pdf,{91AB1B2B-4C43-406F-B9E3-BC4EB6EF7424}
1791,BRIDFORD PKWY & W WENDOVER AVE,1118275200000,BRIDFORD PKWY,NORTH,17712,BRIDFORD PKWY,SOUTH,23991,W WENDOVER AVE,WEST,32163,W WENDOVER AVE,EAST,44316,NA,NA,NA,59091,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BRIDFORDPK-WENDOVERAV05.pdf,{403DDCC3-294A-4639-BFDF-B82D314A302C}
1792,BRIDFORD PKWY & GROVE APT,1128384000000,BRIDFORD PKWY,NORTH,14438,BRIDFORD PKWY,SOUTH,13699,GROVE APTS,WEST,1275,NA,EAST,0,NA,NA,NA,14706,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BRIDFORDPKWY-GROVEAPTS05.pdf,{45D21026-8B67-4874-A830-36FD89F965A7}
1793,ADAMS FARM PKWY & HILLTOP RD,1119312000000,NA,NORTH,74,ADAMS FARM PKWY,SOUTH,11845,HILLTOP RD,WEST,10615,HILLTOP RD,EAST,14826,NA,NA,NA,18680,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/ADAMSFARMPK-HILLTOPRD05.pdf,{C494B556-321C-4C47-BF65-AC4B40490388}
1794,ADAMS FARM PKWY & MACKAY RD,1118707200000,ADAMS FARM PKWY,NORTH,8233,ADAMS FARM PKWY,SOUTH,2342,MACKAY RD,WEST,7008,MACKAY RD,EAST,13313,NA,NA,NA,15448,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/ADAMSFARMPK-MACKEYRD05.pdf,{DD184C5A-8EDC-4402-8F2E-8FBC382DACE5}
1795,AIR HARBOR RD & LAKE BRANDT RD,1119916800000,LAKE BRANDT RD,NORTH,9689,LAKE BRANDT RD,SOUTH,11803,N BEECH LN,WEST,1103,AIR HARBOR RD,EAST,7121,NA,NA,NA,14858,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/AIRHARBORRD-LAKEBRANDTRD05.pdf,{45E248EA-3D52-420F-934B-B7D93A5D9BAD}
1796,ALAMANCE CHURCH RD & WILLOW RD,1108339200000,WILLOW RD,NORTH,1971,WILLOW RD,SOUTH,4004,ALAMANCE CHURCH RD,WEST,8205,ALAMANCE CHURCH RD,EAST,8758,NA,NA,NA,11469,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/ALAMANCECHURCHRD-WILLOWRD05.pdf,{67CDF053-EB55-417D-B803-77E022F0CC37}
1797,ALBERT PICK RD & NC 68 HWY ,1104883200000,NC 68 HWY,NORTH,44951,NC 68 HWY,SOUTH,36202,EXIT 210,WEST,20855,ALBERT PICK RD,EAST,7196,NA,NA,NA,54602,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/ALBERTPICKRD-NC6805.pdf,{E5FA2558-864D-4B51-B952-D3F9B296832C}
1798,ALMA PINNIX DR & E CONE BLVD,1107129600000,NA,NORTH,16,ALMA PINNIX DR,SOUTH,3063,E CONE BLVD,WEST,20665,E CONE BLVD,EAST,18750,NA,NA,NA,21247,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/ALMAPINNIXDR-CONEBLVD05.pdf,{D6579C25-C0F7-445B-A96B-AC5154A85A60}
1799,ALMA PINNIX DR & GOLDEN GATE DR,1123027200000,GOLDEN GATE DR,NORTH,2505,GOLDEN GATE DR,SOUTH,5068,ALMA PINNIX DR,WEST,1338,ALMA PINNIX DR,EAST,2179,NA,NA,NA,5545,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/ALMAPINNIXDR-GOLDENGATE05.pdf,{B7F7BD81-D33C-4AE5-9837-A38BC56F234E}
1800,ASHLAND DR & WALKER AVE,1115769600000,ASHLAND DR,NORTH,659,ASHLAND DR,SOUTH,547,WALKER AVE,WEST,2589,WALKER AVE,EAST,3023,NA,NA,NA,3409,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/ASHLAND-WALKERAV05.pdf,{88BC7643-C1D4-4E95-9E02-7026640BD1C7}
1801,ATLANTA ST & W MEADOWVIEW RD,1128902400000,ATLANTA ST,NORTH,1043,DRIVE WAY,SOUTH,94,W MEADOWVIEW RD,WEST,6640,W MEADOWVIEW RD,EAST,7061,NA,NA,NA,7419,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/ATLANTAST-MEADOWVIEWRD05.pdf,{7B652060-3EAD-4288-B808-5FFC316AC837}
1802,W FLORIDA ST & LOVETT ST,1128902400000,S JOSEPHINE BOYD ST,NORTH,7740,LOVETT ST,SOUTH,5623,W FLORIDA ST,WEST,6640,W FLORIDA ST,EAST,8851,NA,NA,NA,15307,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/AYCOCKST-FLORIDAST05.pdf,{327BDA5B-FE79-4784-B1A7-9CF992A3B08B}
1803,FLEMING RD & NEW GARDEN RD,1107216000000,FLEMING RD,NORTH,17407,NEW GARDEN RD,SOUTH,28635,BALLINGER RD,WEST,4050,BALLINGER RD,EAST,17918,NA,NA,NA,34005,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BALLENGERRD-FLEMINGRD05.pdf,{74BA2498-4579-4A64-A232-F6B3F4EE70C9}
1804,BASS CHAPEL RD & LAKE JEANETTE RD,1106784000000,CHECKERBERRY LN,NORTH,448,LAKE JEANETTE RD,SOUTH,7110,BASS CHAPEL RD,WEST,10316,N ELM ST,EAST,14470,NA,NA,NA,16172,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BASSCHAPELRD-LAKEJEANETTERD05.pdf,{F865864D-5128-426D-AE3E-19A2A4FCC695}
1805,BRIGHTWOOD SCHOOL RD & LEES CHAPEL RD,1128384000000,LEES CHAPEL RD,NORTH,4059,LEES CHAPEL RD,SOUTH,8275,NA,WEST,0,BRIGHTWOOD SCHOOL RD,EAST,6376,NA,NA,NA,9355,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BRIGHTWOODSCHOOLRD-LEESCHAPELRD05.pdf,{339A7532-3266-45CF-8CE8-5A6B7AE9DDF7}
1806,BROOKCLIFF DR & WESTRIDGE RD,1114560000000,WESTRIDGE RD,NORTH,27354,WESTRIDGE RD,SOUTH,27464,BROOKCLIFF,WEST,104,BROOKCLIFF,EAST,1406,NA,NA,NA,28164,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BROOKCLIFFRD-WESTRIDGERD05.pdf,{64E16865-7256-41F9-A865-DEA6A3880443}
1807,BURGESS RD & BRYAN BLVD,1116892800000,N REGIONAL RD,NORTH,8653,BURGESS RD,SOUTH,5612,BRYAN BLVD,WEST,32240,BRYAN BLVD,EAST,35687,NA,NA,NA,41096,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BURGESSBLVD-BRYANBLVD05.pdf,{389765C3-1BC6-4567-B36B-3DE093E6D5B3}
1808,BURGESS RD & W MARKET ST,1121126400000,BURGESS RD,NORTH,4645,NA,SOUTH,0,W MARKET ST,WEST,15146,W MARKET ST,EAST,15889,NA,NA,NA,17840,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BURGESSRD-MARKETST05.pdf,{43513CD4-7464-4A9A-8559-E8C4C01D8357}
1809,BURLINGTON RD & I-840 HWY E,1107388800000,NA,NORTH,2,I-840 HWY E,SOUTH,5860,BURLINGTON RD,WEST,22984,BURLINGTON RD,EAST,17992,NA,NA,NA,23419,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BURLINGTONRD-184005.pdf,{C08C013A-DEB2-4D52-9522-FF47DB30A65E}
1810,CAMDEN RD & S ELAM AVE,1121299200000,ELAM AVE,NORTH,4444,ELAM AVE,SOUTH,4312,CAMDEN RD,WEST,267,CAMDEN RD,EAST,253,NA,NA,NA,4638,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CAMDENRD-ELAMAV05.pdf,{FDC21B98-D620-4A1F-B55A-8A715490E2E5}
1811,CARR ST & S TATE ST,1130889600000,S TATE ST,NORTH,4701,S TATE ST,SOUTH,7569,CARR ST,WEST,3357,CARR ST,EAST,1125,NA,NA,NA,8376,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CARRST-TATEST05.pdf,{A4B0D767-70CE-461B-A18E-2C30F9790317}
1812,CENTERVIEW DR & MEADOWVIEW RD,1110931200000,CENTERVIEW DR,NORTH,2276,NA,SOUTH,0,W MEADOWVIEW RD,WEST,10507,W MEADOWVIEW RD,EAST,10981,NA,NA,NA,11882,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CENTERVIEWDR-MEADOWVIEWDR05.pdf,{A0525534-0DE7-43F0-A916-A6F78933A963}
1813,S CHAPMAN ST & WALKER AVE,1115078400000,S CHAPMAN ST,NORTH,1649,S CHAPMAN ST,SOUTH,3643,WALKER AVE,WEST,3771,WALKER AVE,EAST,4515,NA,NA,NA,6789,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHAPMANST-WALKERAV05.pdf,{4F691BE4-B1E2-4EFA-BFDB-193A1BDE4A8C}
1814,N CHURCH ST & E CORNWALLIS DR,1111536000000,N CHURCH ST,NORTH,13148,N CHURCH ST,SOUTH,16093,E CORNWALLIS DR,WEST,12217,E CORNWALLIS DR,EAST,9638,NA,NA,NA,25548,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHURCHST-CORNWALLISST05.pdf,{E4B6FFF6-AA7F-4088-8EDA-C5617AFDC504}
1815,N CHURCH ST & DENNY RD,1110153600000,N CHURCH ST,NORTH,14539,N CHURCH ST,SOUTH,14532,NA,WEST,0,DENNY RD,EAST,2039,NA,NA,NA,15555,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHURCHST-DENNYRD05.pdf,{2E9BAE18-66A1-43CC-805D-738D58CA38C5}
1816,N CHURCH ST & ELECTRA DR,1113868800000,N CHURCH ST,NORTH,1594,N CHURCH ST,SOUTH,18342,HENRY ST,WEST,3832,ELECTRA DR,EAST,740,NA,NA,NA,19304,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHURCHST-ELECTRADR05.pdf,{2B4DED93-5F09-418E-9DF9-096180D06BAA}
1817,N CHURCH ST & LEES CHAPEL RD,1106611200000,N CHURCH ST,NORTH,9902,N CHURCH ST,SOUTH,11508,PISGAH CHURCH RD,WEST,17720,LEES CHAPEL RD,EAST,14024,NA,NA,NA,26577,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHURCHST-LEESCHAPELRD05.pdf,{AD9595B0-86CC-472A-9175-5703B777A8D8}
1818,N CHURCH ST & LINDSAY ST,1109808000000,N CHURCH ST,NORTH,10047,N CHURCH ST,SOUTH,8294,E LINDSAY ST,WEST,4578,E LINDSAY ST,EAST,3219,NA,NA,NA,13069,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHURCHST-LINDSAYST05.pdf,{B015060B-E9DB-4AAD-9D00-4CA3DE146B4A}
1819,N CHURCH ST & SIXTEENTH ST,1115596800000,N CHURCH ST,NORTH,17958,N CHURCH ST,SOUTH,18703,NA,WEST,6,SIXTEENTH ST,EAST,6313,NA,NA,NA,21486,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHURCHST-SIXTEENTHST05.pdf,{0BDEE22E-5DB8-497D-B5C0-0F3AD97D3F92}
1820,S CHURCH ST & E WASHINGTON ST,1116806400000,S CHURCH ST,NORTH,4682,NA,SOUTH,13,E WASHINGTON ST,WEST,6077,E WASHINGTON ST,EAST,3496,NA,NA,NA,7134,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHURCHST-WASHINGTONST05.pdf,{78A95608-6742-4879-B9B8-416AF4AB4145}
1821,N CHURCH ST & E WENDOVER AVE,1106697600000,N CHURCH ST,NORTH,22656,N CHURCH ST,SOUTH,11820,E WENDOVER AVE,WEST,55433,E WENDOVER AVE,EAST,48443,NA,NA,NA,69176,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CHURCHST-WENDOVERAV05.pdf,{DA4F43AE-9919-4AB9-983A-A2B850A791B2}
1822,CLAPP FARMS RD & MT HOPE CHURCH RD,1107820800000,MT HOPE CHURCH RD ,NORTH,4415,MT HOPE CHURCH RD,SOUTH,3826,CLAPP FARMS RD,WEST,847,NA,EAST,2,NA,NA,NA,4545,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CLAPPFARMRD-MTHOPECHURCHRD05.pdf,{B23EFB9D-BB53-43BA-AC66-0E13C48F6853}
1823,CLEBURNE ST & W CORNWALLIS DR,1114473600000,CLEBURNE ST,NORTH,1917,CLEBURNE ST,SOUTH,978,W CORNWALLIS DR,WEST,11605,W CORNWALLIS DR,EAST,11014,NA,NA,NA,12757,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CLEBURNST-CORNWALLISRD05.pdf,{C3146319-C94B-489B-A9E0-4AC725C0B359}
1824,COLLEGE RD & HUNT CLUB RD,1112745600000,COLLEGE RD,NORTH,24723,COLLEGE RD,SOUTH,25129,HUNT CLUB RD,WEST,5230,HUNT CLUB RD,EAST,3428,NA,NA,NA,29255,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/COLLEGERD-HUNTCLUBRD05.pdf,{A35D1387-111E-490A-88A4-235B7734568C}
1825,E CONE BLVD & US 29 HWY,1114646400000,US 29 HWY,NORTH,3154,US 29 HWY ,SOUTH,8119,E CONE BLVD,WEST,21859,E CONE BLVD,EAST,17498,NA,NA,NA,25315,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CONEBLVD-HWY2905.pdf,{7C16C15B-C9E2-4466-86B7-55FDC32430E9}
1826,W CONE BLVD & MARSTON RD,1113350400000,MARSTON RD,NORTH,833,MARSTON RD,SOUTH,2296,W CONE BLVD,WEST,18412,W CONE BLVD,EAST,19647,NA,NA,NA,20594,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CONEBLVD-MARSTONRD05.pdf,{FEB12848-05E0-4203-A068-F83440983DE6}
1827,E CONE BLVD & ORANGE ST,1113436800000,ORANGE ST,NORTH,1034,ORANGE ST,SOUTH,1429,E CONE BLVD,WEST,23004,E CONE BLVD,EAST,22683,NA,NA,NA,24075,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CONEBLVD-ORANGEST05.pdf,{297A2E71-2001-4B68-9E2C-8A144970F160}
1828,E CONE BLVD & SIXTEENTH ST,1105315200000,SIXTEENTH ST,NORTH,5737,SIXTEENTH ST,SOUTH,2280,W CONE BLVD,WEST,4513,W CONE BLVD,EAST,292,NA,NA,NA,6411,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CONEBLVD-SIXTEENTHST05.pdf,{073CD345-0E02-4AD5-98EB-5769AADB0788}
1829,W CORNWALLIS DR & HOBBS RD,1117584000000,HOBBS RD,NORTH,3750,HOBBS RD,SOUTH,3662,W CORNWALLIS DR,WEST,5376,W CORNWALLIS DR,EAST,6498,NA,NA,NA,9643,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CORNWALLISDR-HOBBSRD05.pdf,{B54C5872-A75C-4B51-852F-BA2C3EF6BAAB}
1830,W CORNWALLIS DR & N HOLDEN RD,1115164800000,N HOLDEN RD,NORTH,18661,N HOLDEN RD,SOUTH,21182,CASCADE DR,WEST,2617,W CORNWALLIS DR,EAST,4032,NA,NA,NA,23246,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CORNWALLISDR-HOLDENRD05.pdf,{DB00938D-74F3-4E69-B99C-32CD577B51D2}
1831,E CORNWALLIS DR & GOLDEN GATE DR,1115683200000,GOLDEN GATE DR,NORTH,2485,GOLDEN GATE DR,SOUTH,6307,E CORNWALLIS DR,WEST,1561,E CORNWALLIS DR,EAST,13657,NA,NA,NA,17005,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CORNWALLIS-GOLDENGATE05.pdf,{7E1F96E1-DABE-4CC9-9750-1E877A0CEA08}
1832,COTSWOLD AVE & LAWNDALE DR,1116288000000,LAWNDALE DR,NORTH,15343,LAWNDALE DR,SOUTH,19473,COTSWOLD AVE,WEST,11361,NA,EAST,19,NA,NA,NA,23098,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/COSTWALD-LAWNDALE05.pdf,{DBA3D7CD-2C32-4397-9EB6-D6190343AAB0}
1833,CYPRESS ST & YANCEYVILLE ST,1127865600000,CYPRESS ST,NORTH,237,CYPRESS ST,SOUTH,552,YANCEYVILLE ST,WEST,6456,YANCEYVILLE ST,EAST,6447,NA,NA,NA,6846,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/CYPRESSST-YANCEYVILLEST05.pdf,{356A79F4-BA53-4F73-806E-D487DE9A2687}
1834,S DAVIE ST & E MARKET ST,1109116800000,S DAVIE ST,NORTH,8134,N DAVIE ST,SOUTH,6622,E MARKET ST,WEST,11581,E MARKET ST,EAST,9383,NA,NA,NA,17860,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/DAVIEST MARKETST05.pdf,{766F6C4F-51FD-46C1-A623-8076DAB502A1}
1835,S DAVIE ST & FEBRUARY ONE PL,1109116800000,S DAVIE ST,NORTH,6714,S DAVIE ST,SOUTH,6353,E FEBRUARY ONE PL,WEST,683,NA,,0,NA,NA,NA,6875,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/DAVIEST-FEBRUARYONEPL05.pdf,{3438681D-A9E1-491D-914C-B85120E144FF}
